,weekday,line_count,notes,timestamp_arrive,timestamp_depart
86,Friday,19,,2016-08-26 07:50:00,2016-08-26 08:00:00
87,Tuesday,21,,2016-08-30 08:05:00,2016-08-30 08:10:00
88,Wednesday,18,,2016-08-31 08:07:00,2016-08-31 08:19:00
89,Thursday,14,,2016-09-01 08:11:00,2016-09-01 08:18:00
90,Friday,10,,2016-09-02 08:06:00,2016-09-02 08:11:00
91,Wednesday,21,,2016-09-07 08:09:00,2016-09-07 08:18:00
92,Thursday,4,,2016-09-08 07:43:00,2016-09-08 07:47:00
93,Thursday,20,Took bus,2016-09-08 08:39:00,
94,Friday,1,,2016-09-09 07:54:00,2016-09-09 07:57:00
95,Monday,17,,2016-09-12 08:07:00,2016-09-12 08:14:00
96,Tuesday,0,,2016-09-13 07:40:00,2016-09-13 07:40:00
97,Tuesday,5,,2016-09-13 08:01:00,2016-09-13 08:02:00
98,Wednesday,14,,2016-09-14 07:50:00,2016-09-14 08:03:00
99,Tuesday,0,,2016-09-20 07:51:00,2016-09-20 07:51:00
100,Wednesday,2,,2016-09-21 08:00:00,2016-09-21 08:02:00
101,Thursday,3,,2016-09-22 07:50:00,2016-09-22 07:52:00
102,Thursday,21,,2016-09-22 08:03:00,2016-09-22 08:12:00
103,Friday ,25,,2016-09-23 07:53:00,2016-09-23 08:07:00
104,Friday,11,,2016-09-23 08:09:00,2016-09-23 08:17:00
105,Monday,13,,2016-09-26 08:00:00,2016-09-26 08:08:00
106,Monday,14,,2016-09-26 08:00:00,2016-09-26 08:10:00
107,Tuesday,13,"7 ahead of me, took bus",2016-09-27 07:30:00,2016-09-27 07:39:00
108,Tuesday,15,,2016-09-27 08:05:00,2016-09-27 08:14:00
109,Wednesday,8,,2016-09-28 07:46:00,2016-09-28 07:58:00
110,Wednesday,20,,2016-09-28 08:16:00,2016-09-28 08:31:00
111,Thursday,2,,2016-09-29 07:40:00,2016-09-29 07:45:00
112,Thursday,16,,2016-09-29 08:06:00,2016-09-29 08:13:00
113,Friday,6,,2016-09-30 07:48:00,2016-09-30 07:51:00
114,Friday,15,,2016-09-30 08:17:00,2016-09-30 08:25:00
115,Monday ,18,,2016-10-03 08:10:00,2016-10-03 08:20:00
116,Tuesday,20,,2016-10-04 07:48:00,2016-10-04 07:57:00
117,Tuesday,12,Dreamforce this week causing heavy traffic,2016-10-04 08:31:00,2016-10-04 08:34:00
118,Wednesday,24,bus,2016-10-05 07:54:00,
119,Wednesday,23,Bus,2016-10-05 08:19:00,
120,Thursday,19,Bus,2016-10-06 07:56:00,
121,Thursday,13,,2016-10-06 08:07:00,2016-10-06 08:14:00
122,Friday,7,,2016-10-07 07:21:00,2016-10-07 07:26:00
123,Monday,25,bus,2016-10-24 07:54:00,
124,Tuesday,20,,2016-10-25 07:45:00,2016-10-25 07:52:00
125,Wednesday,0,,2016-10-26 06:54:00,2016-10-26 06:54:00
126,Wednesday,13,,2016-10-26 08:20:00,2016-10-26 08:31:00
127,Thursday,8,,2016-10-27 07:46:00,2016-10-27 07:53:00
128,Thursday,9,Bus,2016-10-27 08:59:00,
129,Friday,10,,2016-10-28 07:59:00,2016-10-28 08:07:00
130,Monday ,6,,2016-10-31 08:00:00,2016-10-31 08:05:00
131,Tuesday,0,,2016-11-01 07:09:00,2016-11-01 07:09:00
132,Tuesday,9,,2016-11-01 08:21:00,2016-11-01 08:25:00
133,Wednesday,7,,2016-11-02 07:44:00,2016-11-02 07:53:00
134,Wednesday,11,,2016-11-02 08:00:00,2016-11-02 08:02:00
135,Thursday,0,,2016-11-03 07:38:00,2016-11-03 07:38:00
136,Thursday,15,,2016-11-03 08:23:00,2016-11-03 08:29:00
137,Friday,6,,2016-11-04 07:46:00,2016-11-04 07:52:00
138,Friday,11,,2016-11-04 08:06:00,2016-11-04 08:16:00
139,Monday ,15,,2016-11-07 07:52:00,2016-11-07 08:02:00
140,Wednesday,14,,2016-11-09 07:52:00,2016-11-09 08:08:00
141,Wednesday,5,,2016-11-16 07:55:00,2016-11-16 07:58:00
142,Monday,0,,2016-11-21 07:47:00,2016-11-21 07:47:00
143,Monday,0,,2016-11-21 08:33:00,2016-11-21 08:33:00
144,Tuesday,8,,2016-11-22 07:39:00,2016-11-22 07:43:00
145,Tuesday,8,,2016-11-22 08:21:00,2016-11-22 08:24:00
146,Wednesday,8,,2016-11-23 07:42:00,2016-11-23 07:48:00
147,Wednesday,3,,2016-11-23 08:12:00,2016-11-23 08:15:00
148,Monday,21,,2016-11-28 07:47:00,2016-11-28 08:01:00
149,Monday,14,,2016-11-28 08:08:00,2016-11-28 08:14:00
150,Tuesday,6,,2016-11-29 07:34:00,2016-11-29 07:43:00
151,Tuesday,23,Took bus,2016-11-29 08:21:00,
152,Wednesday,0,,2016-11-30 08:09:00,2016-11-30 08:09:00
153,Wednesday,8,,2016-11-30 08:23:00,2016-11-30 08:25:00
154,Thursday,0,,2016-12-01 07:42:00,2016-12-01 07:42:00
155,Friday,6,,2016-12-02 08:18:00,2016-12-02 08:23:00
156,Monday ,17,,2016-12-05 08:28:00,2016-12-05 08:38:00
157,Tuesday,8,,2016-12-06 08:00:00,2016-12-06 08:05:00
158,Tuesday,19,Bus,2016-12-06 08:17:00,
159,Wednesday,9,,2016-12-07 07:51:00,2016-12-07 07:54:00
160,Wednesday,9,,2016-12-07 08:54:00,2016-12-07 09:00:00
161,Thursday,7,,2016-12-08 07:49:00,2016-12-08 07:53:00
162,Monday,15,Took bus; 8 people left,2016-12-12 07:55:00,2016-12-12 07:58:00
163,Monday ,6,,2016-12-12 08:41:00,2016-12-12 08:48:00
164,Tuesday,6,,2016-12-13 07:48:00,2016-12-13 07:56:00
165,Tuesday,3,,2016-12-13 08:11:00,2016-12-13 08:14:00
166,Wednesday,18,,2016-12-14 07:31:00,2016-12-14 07:41:00
167,Wednesday,7,,2016-12-14 08:11:00,2016-12-14 08:13:00
